word_fr;word_en;phrase_fr;phrase_en
rendre;to render, return, yield, give up;je m'y rendis à 4 heures du matin;I went there at 4 o'clock in the morning
part;share; je voudrais vous faire part de quelques données ; I want to share some data with you 
dernier;last; c'est le dernier endroit où vous auriez dû vous rencontrer ; that's the last place you should have met
venir;to come; venez rencontrer les autres ; come meet the others 
pendant;"during; pendant"; où t'étais pendant tout ce temps? ; where were you all of this time? 
passer;to pass; nous sommes passées devant la maison de ma grand-mère ; we went past the front of my grandmother's place
peu;little; un secret se dévoile peu à peu ; a secret unfolds little by little 
lequel;who, whom, which; il y a bien des points sur lesquels je voudrais faire des commentaires ; there are many points on which I would like to comment
suite;result, follow-up, rest; deux, trois et ainsi de suite ; two, three, and so on 
bon;good; ce n'est pas le bon moment ; it's not a good time 
comprendre;to understand; je comprends que vous soyez fâché ; I understand that you're upset 
depuis;since, for; je le connais depuis le lycée ; I have known him since high school 
point;"point; at all"; je suis d'accord avec ce point de vue ; I'm in agreement with that point of view 
ainsi;thus; qu'est-ce qui le pousse à agir ainsi? ; what drives him to act that way? 
heure;hour; a quelle heure sont-ils partis? ; at what time did they leave? 
rester;to stay; le temps qu'il te reste, trouve une solution ; in the remaining time, find a solution 
seul;alone, only; parler tout seul était signe d'aliénation ; talking to oneself was a sign of loneliness 
année;year; il devait se présenter l'année suivante ; he had to show up the next year 
toujours;always; tu es toujours en retard ; you're always late 
tenir;to hold; c'est une porte de sécurité. tiens ça ; it's a security door. hold this 
porter;to wear, carry; il a porté le maillot jaune un jour ; he wore the yellow jersey one day 
parler;to speak; je sais de quoi je parle ; I know what I'm talking about 
fort;strong; c'est une femme forte ; she is a strong woman 
montrer;to show; c'est une étrange façon de montrer votre reconnaissance ; that's a strange way to show your gratitude
là;there, here; je n'étais pas passé par là ; I hadn't passed by there 
certain;certain, sure; certains ont affirmé que le gouvernement était trop faible ; some contend that the government was too weak
fin;"end; gist; clever person"; la fin est importante en toutes choses ; the ending is important in everything 
tu;you; a ma place, tu ne le ferais pas ; in my position, you would not do it 
continuer;to continue; tu continues de m'impressionner ; you continue to impress me 
pays;country; ils vivent dans ce beau pays ; they live in this beautiful country 
trois;three; les trois chasseurs étaient en pleine lumière ; the three hunters were directly in the light 
penser;to think; je pense que vous le connaissez bien ; I think you know him very well 
lieu;place; je suis né dans un lieu public ; I was born in a public place 
partie;part; il garde la majeure partie de cet argent ; he's keeping most of that money 
quand;when; tu aurais dû me tuer quand tu en as eu l'occasion ; you should have killed me when you had the chance
suivre;to follow; les autres, suivez-moi! ; everybody else, follow me! 
contre;against; je vois, tu es en colère contre moi ; I see you're angry with me 
sous;under; juste sous ton nez ; right under your nose 
côté;side; il s'arrête à côté du fauteuil ; he stops beside the armchair 
ensemble;together; on n'a jamais été si bien ensemble ; we've never gotten along so well together 
chose;thing; les choses pourraient bien changer à l'avenir ; things could change in the future 
enfant;child; mes enfants sont en vie ; my children are alive 
cause;cause; ces hallucinations ont une cause ; these hallucinations have a cause 
politique;"politics; political"; elle se spécialise en sciences politiques ; her specialty is political science 
place;room, space, square, place; je n'aimerais pas être à votre place ; I wouldn't want to be in your stead 
seulement;only; on va seulement rester quelques jours, ma chérie ; we're only going to stay a few days, my dear
moi;me; tu sors avec moi ce soir? ; are you going out with me tonight? 
vie;life; je suis sûr qu'elle est en vie ; I'm sure she's alive 
connaître;to know; je le connaissais depuis vingt ans ; I had known him for twenty years 
jusque;to, up to, until; ils me poursuivirent jusque dans la rue ; they followed me right into the street 
croire;to believe; je n'arrive pas à y croire ; I just can't believe it 
homme;man; l'homme est plus important que l'État ; man is more important than country 
cas;case; en tout cas, moi, je ne l'ai pas ; in any case, I don't have it 
petit;small, little; ce petit drogué n'a pas tort ; this little drug addict isn't wrong 
commencer;to begin, start; il est important que ces entretiens commencent immédiatement ; it's important that these meetings start immediately
compter;to count; je peux compter sur toi ; I can count on you 
fait;done, fact; dans les faits, il a raison ; factually, he is correct 
tel;such; je vais m'abstenir d'employer un tel langage ; I'm going to refrain from using such language 
droit;right; elle a le droit de tout savoir ; she has the right to know everything 
question;question; je suis gêné de répondre à cette question ; I'm embarrassed to answer this question 
donc;so, then, therefore, thus; nous avons donc dû faire les calculs nous-mêmes ; we had to do the calculations ourselves 
quel;which, what; quel livre cherchiez-vous? ; which book are you looking for? 
général;general; voici quelques conseils généraux ; here are a few general pieces of advice 
moment;moment; arrête de parler pour un moment ; stop talking for a moment 
entendre;to hear; j'ai entendu la nouvelle ; I heard the news 
beaucoup;much, a lot of, many; il est en mesure de révéler beaucoup de choses ; he's in a position to reveal many things 
chaque;each; chaque entreprise doit avoir sa propre organisation ; every company must have its own organization
jeune;young; le gouvernement cherche à exploiter les jeunes ; the government is trying to exploit young people
travail;work; je ne prenais pas mon travail au sérieux ; I wasn't taking my work seriously 
femme;woman, wife; je vous déclare maintenant mari et femme ; I now declare you husband and wife 
attendre;to wait; ma mère m'attend dans la grande salle ; my mother awaits me in the large room 
remettre;to deliver, replace, set, put; on s'est remis à marcher ; we resumed walking 
appeler;to call; comment s'appelle-t-il? ; what's his name? 
permettre;to allow; vous permettez que j'utilise votre téléphone? ; would you allow me to use your telephone? 
occuper;to occupy; sa main droite était occupée à tenir la petite valise ; his right hand was busy holding the small suitcase
gouvernement;government; le gouvernement a augmenté les impôts ; the government increased taxes 
eux;them; c'est eux qui comptent ; they are the ones who matter 
devenir;to become; je suis très heureux que vous deveniez ma voisine ; I'm very happy you've become my neighbor
partir;to leave; il est parti à présent ; he is gone for the moment 
plan;plan; achetez donc un plan de la ville ; so buy a map of the city 
décider;to decide; j'ai décidé d'écrire un roman ; I decided to write a novel 
soit;either...or; il a pas le choix: soit il est une star soit il est rien ; he doesn't have a choice: either he's a star or he's nothing
ici;here; moi je reste ici ; I'm going to stay here 
rien;nothing; moi, je n'en sais rien ; I don't know anything about it 
cours;course; ils organisaient des petits cours et des séminaires ; they organized short courses and seminars 
affaire;business, matter; occupe-toi de tes affaires ; mind your own business 
nom;name; quel est son nom? ; what is his name? 
famille;family; il provient sûrement d'une excellente famille ; he surely comes from an excellent family 
effet;effect; il s'agit, en effet, d'une question cruciale ; it is, indeed, a crucial question 
arriver;to arrive, happen; cela ne m'était pas arrivé depuis ; that hasn't happened to me since 
possible;possible; nous avons donc deux scénarios possibles ; so we have two possible scenarios 
car;"because; bus"; c'est dommage, car tu vas perdre un gros client ; it's too bad, because you're going to lose a major customer
servir;to serve; il m'a servi une coupe de champagne ; he served me a glass of champagne 
mois;month; il a écrit ce livre en deux mois ; he wrote this book in two months 
jamais;never; je jure de ne plus jamais te contacter ; I swear I will never contact you again 
sembler;to seem; le processus semble irréversible ; the process seems irreversible 
tant;so much, so many; mais vous avez tant à enseigner ; but you have so much to teach 
vers;"toward; verse"; un tram se dirige vers toi. monte dedans ; a tram is approaching you. get on it 
besoin;need; nous avons vraiment besoin d'aide ; we really need some help 
revenir;to come back; je sais qu'elle ne reviendra jamais ; I know she will never return 
dès;from, as soon; on me fera signe dès que vous descendrez ; they'll wave to me as soon as you get down there 
moyen;"means, way; medium"; il songeait aux moyens de profiter de sa victoire ; he was dreaming of a way to profit from his victory
groupe;group; on va commencer avec le premier groupe ; we'll start with the first group 
problème;problem; nous avons osé soulever le problème ; we dared raise the problem 
rapport;relationship, report; je propose que le rapport du comité soit adopté ; I move that the committee's report be adopted
peut-être;perhaps, maybe; j'ai peut-être une idée ; I might have an idea 
vue;view; la vue est belle, de cette fenêtre ; the view from this window is pretty 
maintenant;now; je ne peux pas partir maintenant ; I can't leave now 
pourquoi;why; pourquoi tu ne m'invites pas? ; why don't you invite me? 
meilleur;better, best; j'apprends à être un meilleur mari ; I'm learning to be a better husband 
trop;too much, too many; la vie est trop courte. essayez d'être heureuse ; life is too short. try to be happy 
laisser;to leave; il va nous laisser tranquilles ; he'll leave us alone 
ordre;order; ce sont des scientifiques de premier ordre ; they are first-rate scientists 
devant;in front, ahead; une fumée montait devant nous sur l'horizon ; smoke billowed ahead of us on the horizon 
recevoir;to receive; il n'a plus reçu de lettres de moi ; he didn't receive any more letters from me 
répondre;to answer; j'aimerais y répondre par une autre question ; I would like to respond to it with another question
vivre;to live; aucune Marocaine ne vit seule dans le quartier ; no Moroccan woman lives alone in the neighborhood
long;long, lengthy; l'éducation sur le long terme paiera, j'en suis convaincu ; long-term education pays off, I'm convinced of that
service;service; je faisais mon service militaire ; I was doing my military service 
ministre;minister; les ministres se sont réunis dans la nuit ; the ministers met during the night 
face;front, side, face; on s'est trouvés face à face ; we found ourselves face to face 
chez;at, with; elle ira peut être vivre définitivement chez lui ; she might go live with him permanently 
te;you, to you, from you; je vais t'emmener chez un médecin ; I'm going to take you to a doctor 
rappeler;to recall, call back; je ne me rappelle pas avoir été aussi heureux ; I don't remember having been that happy 
présenter;to present; papa je te présente Claire ; daddy, this is Claire 
accepter;to accept; j'accepte avec plaisir votre aimable invitation ; I accept with pleasure your kind invitation 
agir;to act; c'est le moment d'agir ; now is the time to act 
simple;simple; on préférerait une réponse simple ; we would prefer a simple answer 
plusieurs;several; il y a plusieurs formes d'humour ; there are several types of humor 
votre;your; permettez-moi de vous parler dans votre langue ; allow me to speak to you in your language 
important;important; c'est une question extrêmement importante ; it's an extremely important question 
présent;present; il est trop tard pour dîner à présent ; it's too late to have supper now 
mieux;better; je ne vous ai jamais mieux aimée ; I have never loved you more 
poser;to put, pose, ask; je ne me posais plus de questions ; I didn't ask myself any more questions 
jouer;to play; les enfants jouent dehors ; the children are playing outside 
mot;word; je ne crois pas un mot sorti de ta petite bouche ; I don't believe a single word from your little mouth
reconnaître;to recognize; Joseph reconnut le chant de la grive ; Joseph recognized the thrush's song 
force;force; parle-moi de ces forces surnaturelles ; talk to me of these supernatural forces 
situation;situation; dans des situations aussi difficiles, il faut trancher ; in such difficult situations, drastic measures must be taken
offrir;to offer; alors, je vous offre la vie éternelle ; so I offer you eternal life 
près;near, nearby, close by; il y a un siège vide près de vous ; there's an empty seat near you 
choisir;to choose; c'est maintenant le moment de choisir ; now is the moment to choose 
national;national; il y avait l'intérêt national français ; the national interests of the French were involved 
projet;project; le gouvernement ne financerait aucun projet touchant cette pratique ; the government would not fund any project involving this practice
ni;nor; je ne mange pas de viandes, ni de produits laitiers ; I don't eat meat or dairy products 
puis;then, so; elle a tenté de me tuer, puis elle m'a chassée ; she tried to kill me, then she chased me 
toucher;to touch; il lui touche l'épaule ; he touches her shoulder 
train;train; je pris le train pour un aller-retour vers la mer ; I took the train on a round-trip outing to the sea
aujourd'hui;today; je peux, aujourd'hui encore, en réciter ; even today I can still recite some of them 
comment;how; voyons un peu comment les choses se sont passées ; let's take a look at how things unfolded 
surtout;especially, above all; j'ai surtout besoin d'argent ; what I need above all is money 
gens;people; des gens sont venus me voir ; people came to see me 
propre;clean, proper; la pétasse était propre, mec ; the woman was clean, man 
grâce;thanks, grace, favour; je ne vous demande aucune grâce ; I'm not asking you for any favors 
idée;idea; que pensez-vous de cette idée? ; what do you think of this idea? 
selon;according to; tout est prêt selon vos désirs ; everything's ready according to your wishes 
région;region; la région a connu une cinquantaine de massacres ; the region has experienced some fifty massacres
aimer;to like, love; tu sais que je t'aime ; you know I love you 
sens;sense, meaning; il manquait un sens à donner à ma vie ; there was a lack of meaning in my life 
retrouver;to find, recall; je te retrouve dehors ; I'll find you outside 
semaine;week; ma pièce se jouait cette semaine ; my play was showing that week 
également;also, too, as well, equally; reculer est également hors de question ; backing down is also not an option 
ci;this one, here; et celui-ci? oui, il est vraiment super ; and this one here? yes, he's really great 
façon;way, manner; c'est une façon de voir, je suppose ; it's a way of looking at it, I guess 
nombre;number; il existe un nombre infini de réponses possibles ; there are an infinite number of possible answers
perdre;to lose; vous avez perdu votre mère, mademoiselle? ; did you lose your mother, miss? 
français;French; il faut leur parler en français ; you need to speak to them in French 
expliquer;to explain; je vous en prie, expliquez-moi tout ; I beg you, explain everything to me 
quatre;four; nous sommes quatre étudiants dans la maison ; we're four students sharing a house 
compte;account, count; cette ville a eu son compte de désastres ; this city has had its fair share of disasters 
considérer;to consider; la présidence considère cela comme une priorité majeure ; the presidency considers that a major priority
lorsque;when; que se passe-t-il lorsque nous manquons de sucre? ; what happens when we lack sugar? 
ouvrir;to open; s'il vous plaît, ouvrez les yeux ; please open your eyes 
gagner;to win, earn; que le meilleur gagne ; may the best man win 
exemple;example; ces exemples sont encore bien pauvres ; these examples are still very weak 
ville;city; nous étions de la même ville ; we were from the same city 
économique;economic, economical; le rétablissement économique de l'Asie est plus rapide que prévu ; Asian economic recovery is faster than projected
mesure;measure; écrire me libère dans une certaine mesure ; writing liberates me to a certain extent 
histoire;history, story; on a raconté d'amusantes histoires ; we told funny stories 
haut;top, high; voilà qui vous lancera dans la haute société ; that's who will launch you into high society 
ensuite;next; ensuite il va au restaurant ; then he's going to the restaurant 
guerre;war; c'est nul, la guerre! ; war is nothing! 
loi;law; je vais voter contre le projet de loi ; I'm going to vote against the bill 
président;president; j'ai rencontré le président des Etats-Unis ; I met the president of the U.S. 
exister;to exist; le risque n'existe plus ; there is no more risk 
sûr;sure; tu m'attends? bien sûr, poupée ; will you wait for me? of course, doll 
refuser;to refuse; attendez...vous refusez d'obéir? ; wait... you refuse to obey? 
plutôt;rather; ce jet vole plutôt bas ; this jet is flying rather low 
bureau;office, desk; il veut vous voir dans son bureau immédiatement ; he wants to see you in his office immediately
mauvais;bad, wrong; il constitue un pas dans la mauvaise direction ; it constitutes a step in the wrong direction 
quant;as for; les vents tempêtueux ont modifié la situation quant aux avalanches ; the stormy winds changed the avalanche situation
mort;"dead; death"; la mort ne m'effraye pas ; death doesn't frighten me 
mal;bad; autrement dit, la journée a plutôt mal commencé ; in other words, the day started out rather badly
lire;"to read; lira"; je ne voulais pas lire mes poèmes ; I didn't want to read my poems 
réussir;to succeed; il ne réussit pas à vendre un seul dessin ; he can't manage to sell even one drawing 
marché;market; le marché des maisons est resté stable ; the housing market has remained stable 
condition;condition; l'unité de la condition humaine ; the unity of the human condition 
international;international; elle jouit également d'une excellente réputation internationale ; she also has an excellent international reputation
changer;to change; ensemble, ils ont changé beaucoup de choses ; together, they changed many things 
oui;yes; oui, oui, je sais! ; yes, yes, I know 
public;public, audience; je dois beaucoup au public ; I owe a lot to the public 
humain;human; vous savez, on est humains, nous aussi ; you know, we are also human 
souvent;often; mais alors souvent en fin de soirée c'est la fête ; well, often the night ends with a party 
cinq;five; j'ai cinq minutes, je dois rencontrer quelqu'un à midi ; I have five minutes someone at noon
système;system; j'ai décrit le système idéal ; I described the ideal system 
travailler;to work; nous devons travailler ensemble ; we have to work together 
jeu;game; nous n'entrons pas dans le jeu de la politique ; we don't enter into the political fray 
vrai;TRUE; ah, oui, c'est vrai ; oh, yes, that's right 
représenter;to represent; il représente bien le sport français ; he represents French sports very well 
madame;madam, lady; et je suis au service de madame ; I'm at your service, ma'am 
société;society; on vit dans une société où tout s'accélère ; we live in a society where everything is accelerating
difficile;difficult; c'est difficile, monsieur, très difficile d'être un homme ; sir, it's difficult a man
quoi;what; je ne sais pas de quoi vous parlez ; I don't know what you're talking about 
entreprise;enterprise, business; j'ai moi-même l'esprit d'entreprise ;  I myself have an entrepreneurial spirit nan
coup;coup, blow, knock, stroke; je lui donne juste un coup de main. je le lui dois ; I'm just giving him a helping hand. I owe it to him
or;"gold; hence, thus"; je ne suis pas chercheuse d'or ; I'm not a gold-digger 
social;social; elle a une dimension sociale autant que biologique ; it has a social dimension as much as a biological one
assurer;to assure, insure; le contrat assure une pension à l'époux survivant ; the contract guarantees a pension to the surviving spouse
essayer;to try; je vais essayer de vous convaincre ; I'll try to convince you 
juste;"just, only; fair"; vous êtes juste et impartial, comme toujours ; you're fair and impartial, as always 
étranger;"foreigner; foreign"; la situation est bien différente à l'étranger ; the situation is very different abroad 
empêcher;to prevent; cela n'aurait évidemment rien empêché ; apparently that wouldn't have prevented anything 
million;million; un quart de million d'articles ont été distribués ; a quarter million articles were distributed 
manière;manner, way; de cette manière, nous serons ensemble ; this way, we will be together 
sortir;to go out, leave; sortez ou j'appelle la police ; get out of here or I'll call the police 
prix;"price; prize"; il y a un prix pour les gagnants ; there is a prize for the winners 
terme;term, deadline; l'éducation sur le long terme paiera ; education will pay off in the long term 
longtemps;a long time, a long while; pendant longtemps il ne bougea pas de son lit ; for a long while he didn't move from his bed 
reprendre;to resume, recover, start again, take back; on peut les arrêter, leur reprendre cette ville ; we can arrest them, take back this city from them
courant;current; je suis au courant, il a téléphoné ; I'm aware of it, he telephoned 
intérêt;interest; l'avenir ne présente guère d'intérêt ; the future is hardly interesting 
mener;to lead; la police mène une enquête pour arrêter les assaillants ; the police are leading an investigation to arrest the attackers
information;information; ces dirigeants ont décidé de taire ces informations ; these leaders decided to suppress this information
détail;detail; vous devriez tout me raconter en détails ; you should tell me everything in minute detail 
appartenir;to belong; cet argent n'appartient pas au gouvernement ; this money does not belong to the government 
liberté;liberty, freedom; on se bat pour la liberté d'expression ; we're fighting for freedom of expression 
assez;enough; les journées ne sont plus assez longues ; the days are no longer long enough 
risquer;to risk; un avocat ne viendra pas risquer sa vie ; a lawyer won't come here to risk his life 
chacun;each; ils ont chacun leurs intérêts, leurs passions ; they each have their own interests, passions 
concerner;to concern; en ce qui me concerne, je voudrais te féliciter ; for my part, I would like to congratulate you 
maison;house; elle est revenue habiter à la maison ; she came back to live at home 
d'abord;first of all; je voudrais d'abord savoir quel métier tu exerces ; I would first of all like to know what you do for a living
apprendre;to learn; où as-tu appris le métier? ; where did you learn your trade? 
niveau;level; ce niveau de collaboration ne sera pas maintenu ; this level of cooperation will not be maintained
rencontrer;to meet; il rencontrera le pape au Vatican vendredi ; he will meet the Pope at the Vatican on Friday 
ton;"your; tone"; le ton était donné ; the tone was sounded 
œuvre;work, task; peu d'auteurs font référence à son œuvre ; few authors cite his work 
créer;to create; des malentendus nous créent des problèmes terribles ; misunderstandings create horrible problems for us
état;state; la police était en état d'alerte maximum ; the police were in a full state of emergency 
obtenir;to get, obtain; j'essaierai d'obtenir la réponse pour demain ; I will try to get the answer for tomorrow 
clair;clear; la nuit était froide et claire, sous la lune ; the night was cold and clear, under the moon 
chercher;to look for; je ne cherche pas la richesse ; I am not seeking riches 
entrer;to enter, go in, come in; faut trouver le moyen d' entrer dans le soussol ; gotta find the way to enter into the basement 
proposer;to propose; le jeune Français propose une promenade au parc ; the young Frenchman proposed a stroll through the park
apporter;to bring; je vous ai apportée des fleurs de mon jardin ; I brought you flowers from my garden 
programme;program; utilisons ce programme comme il se doit ; let's use this program the way it should be doit -- let's use this program the way it should be
loin;far; tu es venu de si loin ; you came from so far away 
ligne;line; il ne compte qu'une seule ligne de texte ; it only has a single line of text 
tête;head; ma tête me gratte ; my head is itchy 
libre;free; demain je suis libre toute la journée ; tomorrow I'm free all day 
utiliser;to use; il utilisait une sorte de rasoir ; he was using some type of razor 
atteindre;to reach; leur fortune atteindrait des milliards ; their fortune would reach billions 
tenter;to tempt, try; il tente de sortir de l'Italie ; he tried to leave Italy 
tard;late; retournez au lit, il est tard ; go back to bed, it's late 
enfin;at last, finally; elle avait enfin la réponse ; she finally got the answer 
différent;different; c'est un bruit complètement différent ; it's a completely different noise 
sorte;sort, kind; la boisson est une sorte de drogue ; liquor is a kind of drug 
cependant;however; cette sécurité se trouve cependant menacée ; this security is, however, threatened 
sujet;subject, topic; je cherchais un sujet de mémoire ; I was looking for a thesis topic 
importer;"to import; to be important"; il importait de ne pas répéter l'erreur ; it's important to not repeat the mistake 
action;action; le président devrait éviter des actions irréfléchies ; the president should avoid rash actions 
relation;relationship; il y a là une relation intéressante à explorer ; now there is an interesting relationship to explore
recherche;research, search; la recherche en santé peut se révéler extrêmement bénéfique ; health research can be extremely beneficial
livre;book; je me mis à feuilleter les livres ; I began paging through the books 
ajouter;to add; il ajouta à sa lettre une note ; he added a note to his letter 
ailleurs;elsewhere, somewhere else; les négociations décisives se tiennent ailleurs ; the decisive negotiations are taking place elsewhere
vraiment;truly, really, very; très mauvais, c'est pas vraiment sexy ; very bad, it's not really sexy 
doute;doubt; il n'y a sans doute rien à voir ; without a doubt, there's nothing to see 
reste;rest; c'est tout. le reste, je m'en fous ; that's all. for the rest, I couldn't give a sh*t 
début;beginning; je l'ai expliqué au début de mon discours ; I explained it at the beginning of my talk 
présence;presence;" j'ai besoin de sa présence; elle est mon ange ";" I need to be in her presence; she is my angel "
nombreux;numerous; j'ai participé à de nombreux débats de ce genre ; I have participated in numerous debates of this kind
produire;to product; nous devons produire quelque chose sur les terres en jachère ; we must produce something with the fallow lands
préparer;to prepare; je vous prépare à manger? ; should I prepare you some food? 
forme;form; les électrons ne sont plus sous forme de gaz ; the electrons are no longer in the form of gas 
décision;decision; parfois, vos décisions nous déçoivent ; sometimes your decisions disappoint us 
rôle;role; il joue un rôle actif sur la scène internationale ; he plays an active role in the international scene
dix;ten; je patiente depuis dix minutes ; I have been patiently waiting for ten minutes 
produit;product; de nouveaux marchés s'ouvrent ainsi aux produits français ; new markets are thus opening to French products
américain;American; c'est la voie que les Américains ont choisie ;it's the path that the Americans have chosen 
minute;minute; vous ne pouvez pas attendre deux minutes ; you can't wait two minutes 
relever;to raise; elle relevait la tête pour croiser mon regard ; she lifted up her head to catch me looking at her 
autant;as much, as many; il a une bonne raison pour tarder autant ; he has a good reason for being so late 
peuple;people; ma vengeance va s'abattre sur votre peuple! ; my vengeance will smite your people! 
second;second; j'ai écrit la seconde partie du roman avant la première ; I wrote the second part of the novel before the first
prochain;next;je vous offre 50% sur votre billet prochain;I'll offer you 50% off your next ticket
particulier;"particular, peculiar; person"; j'ai un regard un peu particulier ; I have a somewhat peculiar look 
